iter	Passed	Remaining
0	1	1867
1	3	1704
2	4	1581
3	5	1490
4	7	1461
5	8	1468
6	10	1466
7	11	1470
8	13	1475
9	15	1507
10	16	1526
11	18	1531
12	20	1527
13	22	1559
14	23	1560
15	25	1555
16	26	1541
17	28	1539
18	29	1536
19	31	1533
20	32	1520
21	34	1515
22	35	1521
23	37	1525
24	38	1516
25	40	1531
26	43	1552
27	44	1554
28	46	1551
29	48	1563
30	50	1565
31	51	1562
32	53	1562
33	54	1560
34	56	1559
35	58	1555
36	59	1546
37	61	1546
38	62	1539
39	63	1534
40	65	1523
41	66	1520
42	68	1514
43	69	1506
44	70	1498
45	71	1490
46	73	1485
47	74	1481
48	75	1474
49	77	1467
50	78	1460
51	79	1458
52	81	1452
53	82	1445
54	84	1444
55	85	1439
56	86	1436
57	88	1430
58	89	1427
59	90	1421
60	92	1416
61	93	1414
62	94	1408
63	96	1404
64	97	1400
65	98	1396
66	100	1393
67	101	1389
68	102	1385
69	103	1381
70	105	1377
71	106	1377
72	108	1373
73	109	1370
74	110	1366
75	111	1361
76	113	1359
77	114	1355
78	116	1353
79	117	1349
80	118	1348
81	120	1346
82	121	1343
83	122	1339
84	124	1335
85	125	1332
86	126	1330
87	128	1327
88	129	1323
89	130	1320
90	131	1316
91	133	1314
92	134	1313
93	135	1310
94	137	1308
95	138	1305
96	139	1302
97	141	1300
98	142	1298
99	143	1294
100	145	1295
101	147	1294
102	148	1292
103	149	1290
104	151	1288
105	152	1284
106	153	1283
107	154	1280
108	156	1279
109	157	1276
110	158	1273
111	160	1271
112	161	1268
113	162	1266
114	164	1263
115	165	1260
116	166	1259
117	168	1257
118	169	1256
119	171	1254
120	172	1251
121	173	1250
122	174	1247
123	176	1246
124	177	1244
125	179	1242
126	180	1240
127	181	1238
128	183	1236
129	184	1234
130	185	1232
131	187	1230
132	188	1228
133	189	1226
134	191	1224
135	192	1222
136	193	1220
137	195	1218
138	196	1217
139	197	1215
140	199	1213
141	200	1211
142	201	1209
143	203	1209
144	204	1206
145	205	1204
146	207	1203
147	208	1201
148	210	1199
149	211	1197
150	212	1195
151	214	1194
152	215	1192
153	216	1190
154	218	1188
155	219	1186
156	220	1184
157	221	1182
158	223	1180
159	224	1179
160	225	1177
161	227	1175
162	228	1173
163	230	1172
164	231	1170
165	232	1167
166	233	1166
167	235	1164
168	236	1163
169	237	1161
170	239	1158
171	240	1157
172	241	1156
173	243	1154
174	244	1154
175	246	1152
176	247	1151
177	249	1150
178	250	1148
179	251	1146
180	252	1144
181	254	1143
182	255	1141
183	257	1139
184	258	1137
185	259	1136
186	260	1134
187	262	1132
188	263	1130
189	264	1128
190	265	1126
191	267	1124
192	268	1122
193	270	1121
194	271	1119
195	272	1118
196	274	1117
197	275	1115
198	276	1113
199	277	1111
200	279	1109
201	280	1108
202	281	1106
203	283	1105
204	284	1104
205	285	1102
206	287	1100
207	288	1098
208	289	1097
209	291	1096
210	292	1095
211	294	1094
212	295	1092
213	296	1090
214	298	1088
215	299	1086
216	300	1085
217	302	1083
218	303	1082
219	304	1080
220	306	1079
221	307	1077
222	308	1075
223	310	1074
224	311	1072
225	312	1071
226	314	1070
227	315	1068
228	317	1067
229	318	1065
230	319	1064
231	320	1062
232	322	1060
233	323	1060
234	325	1058
235	326	1056
236	327	1055
237	329	1053
238	330	1052
239	331	1051
240	333	1050
241	334	1048
242	336	1047
243	337	1045
244	338	1043
245	339	1041
246	341	1040
247	342	1038
248	344	1037
249	345	1036
250	347	1035
251	348	1034
252	350	1034
253	351	1032
254	353	1031
255	354	1029
256	355	1028
257	356	1026
258	358	1024
259	359	1023
260	360	1021
261	362	1020
262	363	1018
263	364	1016
264	366	1016
265	367	1015
266	369	1013
267	370	1011
268	371	1010
269	373	1008
270	374	1007
271	375	1005
272	376	1003
273	378	1002
274	379	1000
275	380	999
276	382	997
277	383	996
278	384	994
279	386	993
280	387	992
281	389	991
282	390	989
283	391	988
284	393	987
285	394	985
286	396	984
287	397	983
288	399	982
289	400	981
290	402	980
291	403	978
292	404	977
293	406	975
294	407	974
295	409	973
296	410	971
297	411	969
298	413	968
299	414	967
300	415	965
301	417	963
302	418	962
303	419	960
304	421	959
305	422	958
306	424	957
307	425	955
308	426	954
309	428	953
310	429	952
311	431	950
312	432	949
313	433	948
314	435	946
315	436	945
316	438	944
317	439	942
318	440	941
319	442	940
320	443	938
321	445	937
322	446	935
323	447	934
324	449	932
325	450	931
326	451	929
327	453	928
328	454	926
329	455	925
330	457	923
331	458	921
332	459	920
333	461	919
334	462	918
335	463	916
336	464	914
337	466	913
338	467	912
339	469	910
340	470	909
341	471	907
342	473	906
343	474	904
344	476	904
345	477	902
346	479	901
347	480	900
348	481	899
349	483	897
350	484	896
351	486	894
352	487	893
353	488	891
354	490	890
355	491	889
356	492	887
357	494	886
358	495	885
359	497	883
360	498	882
361	499	880
362	501	879
363	502	878
364	503	876
365	505	875
366	506	874
367	508	872
368	509	871
369	510	869
370	511	868
371	513	866
372	514	865
373	516	863
374	517	862
375	518	860
376	520	859
377	521	857
378	522	856
379	524	855
380	525	853
381	526	852
382	527	850
383	529	849
384	530	847
385	532	846
386	533	845
387	534	843
388	536	842
389	537	840
390	538	839
391	540	837
392	541	836
393	542	835
394	544	834
395	546	832
396	547	831
397	549	830
398	550	828
399	551	827
400	553	826
401	554	824
402	555	823
403	556	821
404	558	820
405	559	818
406	561	817
407	562	816
408	563	814
409	564	813
410	566	811
411	567	810
412	569	809
413	570	807
414	571	805
415	573	804
416	574	803
417	576	802
418	577	800
419	578	799
420	580	798
421	581	796
422	583	795
423	584	794
424	586	793
425	587	791
426	589	790
427	590	789
428	591	787
429	593	786
430	595	785
431	596	784
432	597	783
433	599	781
