iter	MultiClass
0	2.238053856
1	2.17316428
2	2.119137085
3	2.063208304
4	2.009648929
5	1.958643532
6	1.918345133
7	1.877426815
8	1.839629396
9	1.808020504
10	1.777483097
11	1.750637223
12	1.717837602
13	1.689885045
14	1.664905073
15	1.635279042
16	1.607372349
17	1.578580075
18	1.560815806
19	1.539458622
20	1.514314794
21	1.496810393
22	1.473219884
23	1.454962502
24	1.433684674
25	1.415150032
26	1.399005465
27	1.384279575
28	1.369647281
29	1.355161957
30	1.339531576
31	1.325950174
32	1.310596115
33	1.296322562
34	1.279717969
35	1.265757293
36	1.252248228
37	1.237149881
38	1.226042106
39	1.214779528
40	1.200888608
41	1.188702628
42	1.1765267
43	1.16307917
44	1.154706277
45	1.143974419
46	1.133653209
47	1.122960117
48	1.112723632
49	1.102482951
50	1.091235545
51	1.082329184
52	1.073272007
53	1.061886374
54	1.054725404
55	1.047533364
56	1.039910954
57	1.031942663
58	1.023179775
59	1.016955553
60	1.008603579
61	1.000095532
62	0.9916757802
63	0.9831960443
64	0.9756422589
65	0.9675902885
66	0.9606302482
67	0.9546245712
68	0.9479553934
69	0.940192089
70	0.9342877988
71	0.9281229035
72	0.9225065057
73	0.9141907545
74	0.9079493306
75	0.900520945
76	0.8928095219
77	0.8869064116
78	0.8829164276
79	0.875306983
80	0.8685094637
81	0.8613491287
82	0.8557007286
83	0.849874979
84	0.8425174482
85	0.8366991964
86	0.8303593907
87	0.8246385351
88	0.8200897252
89	0.8152382322
90	0.8117614498
91	0.8067848838
92	0.8019633736
93	0.7960298736
94	0.7899935622
95	0.7842591093
96	0.7776813403
97	0.7730071801
98	0.7670995367
99	0.7619839674
100	0.7580274934
101	0.751496903
102	0.7480113685
103	0.7425538233
104	0.7377911891
105	0.7333992639
106	0.7295655343
107	0.7266626503
108	0.720557561
109	0.7151861898
110	0.7111431823
111	0.7074737016
112	0.7034517015
113	0.6991536482
114	0.6946143395
115	0.6908269473
116	0.6870937332
117	0.6831267734
118	0.6792533606
119	0.6753660284
120	0.6712996129
121	0.6680966944
122	0.6637424278
123	0.6596091619
124	0.6542807618
125	0.6500701353
126	0.6457290552
127	0.6428521971
128	0.6394819865
129	0.6357943664
130	0.6336688713
131	0.6302453202
132	0.6269972072
133	0.6238830624
134	0.6200835369
135	0.6180834536
136	0.6146891249
137	0.6106042803
138	0.6060703571
139	0.6030769346
140	0.5996895697
141	0.5945074124
142	0.5911388672
143	0.5885833954
144	0.5853716806
145	0.5818737494
146	0.5784845937
147	0.5753645688
148	0.5715984618
149	0.5688708154
150	0.5672710818
151	0.5634962122
152	0.5600105932
153	0.5591259768
154	0.5562573634
155	0.5533233922
156	0.5512027192
157	0.5480009811
158	0.5456031702
159	0.543316595
160	0.5406224464
161	0.5386251793
162	0.5358596061
163	0.5325678365
164	0.5293710981
165	0.5272318382
166	0.5252743609
167	0.5221969917
168	0.5198340775
169	0.5169962923
170	0.5144567315
171	0.5118696124
172	0.5083082098
173	0.5063608873
174	0.5041843234
175	0.5016836387
176	0.4995492335
177	0.4971574863
178	0.4940861966
179	0.4913911255
180	0.4888673237
181	0.4872486632
182	0.4850565957
183	0.4827745247
184	0.4811389794
185	0.4788958482
186	0.476269032
187	0.4736787395
188	0.4714479847
189	0.4685196286
190	0.4672945738
191	0.4652936784
192	0.4626320682
193	0.4614002106
194	0.4589705773
195	0.4567573861
196	0.454722487
197	0.4520071032
198	0.4506346769
199	0.4486255512
200	0.4463112173
201	0.44396764
202	0.4433063463
203	0.4420124161
204	0.4399171817
205	0.4379559606
206	0.4357498717
207	0.4341806872
208	0.4322334342
209	0.430887558
210	0.4287320119
211	0.4265212897
212	0.4247469615
213	0.4232783706
214	0.4216817993
215	0.4202967675
216	0.4184982933
217	0.4168392102
218	0.4151421942
219	0.4136730887
220	0.4121758421
221	0.4103839907
222	0.4086002272
223	0.4064596608
224	0.4044988824
225	0.4036516957
226	0.4017576221
227	0.4005044921
228	0.3990488988
229	0.3972665799
230	0.3950575383
231	0.3937272114
232	0.3919479231
233	0.3908584382
234	0.3893299493
235	0.3883254255
236	0.387402036
237	0.3856790172
238	0.3838076536
239	0.3820104532
240	0.380430794
241	0.3789877309
242	0.3774756177
243	0.3757722583
244	0.3747538908
245	0.373277011
246	0.3714686764
247	0.3704001896
248	0.3700503079
249	0.3695226953
250	0.3682211266
251	0.366264905
252	0.3651339642
253	0.3634747442
254	0.3617027935
255	0.3597505042
256	0.3582995427
257	0.3562492444
258	0.3550094968
259	0.3540095826
260	0.35192368
261	0.3505412241
262	0.3495011804
263	0.3481385341
264	0.3470133238
265	0.3456869657
266	0.3450302204
267	0.3437048081
268	0.3424910291
269	0.3422429887
270	0.3412937904
271	0.3397979807
272	0.3385746583
273	0.3369226183
274	0.3361321625
275	0.335143848
276	0.3338043797
277	0.3325119782
278	0.3309001805
279	0.3303142258
280	0.3296419381
281	0.3282157316
282	0.3271066509
283	0.3258187836
284	0.3245420416
285	0.323827439
286	0.3222860391
287	0.3213162087
288	0.3203632574
289	0.3191948605
290	0.3179817404
291	0.3168795761
292	0.3155514665
293	0.3141629551
294	0.3135566891
295	0.3130527025
296	0.3123953416
297	0.3112180377
298	0.310040558
299	0.3084952289
300	0.3075015677
301	0.3061753123
302	0.3056703962
303	0.3045751665
304	0.3039077331
305	0.3027944703
306	0.3017626426
307	0.3009269082
308	0.2999925259
309	0.2984963753
310	0.2968623469
311	0.2953182699
312	0.2946223119
313	0.2938160527
314	0.2929708076
315	0.2923994889
316	0.2912652986
317	0.2901697733
318	0.2890269493
319	0.2883124137
320	0.2873829565
321	0.2867566336
322	0.2858618662
323	0.2847151925
324	0.2837929083
325	0.2828223221
326	0.2819696802
327	0.2813930669
328	0.2804895506
329	0.2795901765
330	0.278347183
331	0.2776920292
332	0.2765506552
333	0.2752732972
334	0.2745276763
335	0.2733260427
336	0.2723982599
337	0.2719087617
338	0.2710907593
339	0.2705882274
340	0.2697866286
341	0.2686117353
342	0.2676389976
343	0.266796898
344	0.2660160636
